,Topic,Word,Tweets
0,34,inclusion,"Things I’m manifesting for Q2:

🏳️‍🌈Onboard 1,000 queer POC into #web3
🎙Speak at a #NFT conference on diversity &amp; inclusion
🎓Partner with globally recognised thought leaders with our Curriculum training 
🤝Continue to build a community of Changemakers at @takeupspace_nft"
1,34,inclusion,"Sending peace and ❤️ on #IWD2022 from some of the HouseHeads #NFT ladies 
#WomensDay2022 #Diversity #inclusion #Equality #WorldPeace https://t.co/Xn0rDf9d6M"
0,34,style,@tropoFarmer @itstylersays @farokh @NFTethics @ElectionDayMad1 Ngl I might make this a weekly thing and include that every single time 💀
1,34,style,"NY_ in N.Y.

Wow!✨✨ Unbelievable!⚡️⚡️
I was Selected as an artist for 
The https://t.co/PBN99ljjxC 2022 Diversity of NFTs Art Showcase!
🎉🎊🎉

I am NY_ but Japanese.
I would love to show you my style!
See you in N.Y.☺️
(Only my works are coming from Japan…)

@NFT_NYC 
#NFTArt"
0,34,history,"DC Partners w/ Palm NFT Studio For Epic Drop @ DC FanDome 2021

“Using Palm’s proprietary, environmentally sustainable and energy efficient technology, the NFTs highlight the company’s legendary history, breadth of characters and diversity of storytelling” https://t.co/knYryWxKey"
1,34,history,"Start company… AD ASTRA CRYPTO LLC. 

“The first company where every single share is memorialized as an NFT, owned by the public. Our singular focus is creating the most transparent creation of wealth in history.”

Issue 10k shares. 

Sell a jpg of each share cert as an NFT…"
0,34,work,"And if your entire site pivoted to NFT coverage, I don’t envy the work you’ll have to do to rebuild trust."
1,34,work,"@MegaOasis_nft @GreengoXrp I can't believe my luck right now and thank you very much for the trust in my work I do for the entire $NEO ecosystem and I have to honestly admit that #MetaPanacea #18 from the Herb series is one of my favorites. 😲🥳

BiG THX again @MegaOasis_nft team you guys are great. 💚 https://t.co/pY4Uw61wvQ"
0,34,culture,"Minted another @NeonPantheonNFT. The artwork will be amazing thanks to the idea of mashing up cultures into one. Diversity in a NFT

https://t.co/mBj4PbUtQJ via @opensea"
1,34,culture,"We are one in a world of ours, irrespective of our skin colour,race,culture or Country.Say no to Racism or hate speech and let's make the world a better place. 
@garyvee @0xPolygon
 @reecemastin @Coinbase_NFT 
 https://t.co/wA4ZGjMYoo
#NFT #nftcollector #uswap #nftart 
#opensea"
0,34,collection,"After seeing so many people, launching their first NFTs, it feels really good to finally work on my Genesis collection.

A collection containing 11 NFTs depicting the diversity and beauty of 11 amazing murals of India.

Stories on walls - Coming Soon
#NFT #NFTCommunity https://t.co/T79i6enRys"
1,34,collection,"First my collection in @opensea called ""To the naked"". The first piece is ""Thoughts in freedom"", It reflects the creativity and diversity of our thoughts and how they could evolve in ideas to change the world. 
#NFT #nftcollector #NFTartists 
https://t.co/7uHCcy8XeW https://t.co/86kcMlM8Lv"
0,34,love,"This week I was gifted my 1st NFT by the @ExpansionPunks founder, whose vision is a more diverse &amp; inclusive web3 for all. I'm impressed so far &amp; would love even more women, BIPOC, &amp; gender diverse folks to join the #xPunks family. Tune in tonight or 1/5 w/@amber_vittoria! 🌈"
1,34,love,"Dear my beloved Torto's Journey #28, now you got new home like you wish.. 
Trust me! My friend will take care of you more than me🚀
Big THANKS @Tiki_tatau 🔥

#NFT #NFTCommunity #nftart #NFTcollectibles #tortosjourney #tezosnft #hicetnunc2000 #tezos #Crypto https://t.co/sZ7l4s1pqx"
0,34,art,"In honor of #Blackhistorymonth2022 I’ve changed my Profile Picture to @AncientWarNFT

This community is supporting black artists globally.

Thanks @EmanFT_ for your commitment to diversity!

#NFT #Web3 #Crypto @unstoppableweb @UnstoppableWoW3 https://t.co/A0hih5Wrzi"
1,34,art,"🎁 Botzy is in the process of creating a New* NFT character course. When you’re finished, you will know how to create transparency to your character design. 

Let’s put this little robot in a glass casing for the collectors! #Anatomy #muscle #nft #nfts #nftart #nftcollector https://t.co/cwRay4Z34i"
0,34,nft,"Happy Mother’s Day family!!!!❤️

#NFTCommunity #lgbtiq #nft #nftshill #diversity #HappyMothersDay https://t.co/ihWHuElPcn"
1,34,nft,"🌸Friday Space Hangs🌸

Join me in conversation with ✨@nftfari✨on how she infused a sense of warmth, diversity, and inclusivity at SD NFT Con. 

You dont wanna miss this!! 

 https://t.co/VWy46nuIwE"
0,34,diversity,"🌟New Listed!!!
Welcome @diverse join the #MintyCommunity🤩
""The beauty of the world lies in the diversity of people.""👀💞

Find more NFT info 🚀 https://t.co/HxkKHTbvsU
#NFTs #NFTCommunity #MintyScore https://t.co/1FIXYN9esE"
1,34,diversity,"New PoWeR GAL added: CONFIDENT 

PoWeR GAL is a unique collection of Powerful Women around the World. Each GAL highlights a message
#women #nft #nftwomen #diversity #NFTCommunity #inclusion #NFTcollections #cryptoart @opensea #OpenSeaNFT #nftcollector

https://t.co/UtY3Xm6rP1"
