,Topic,Word,Tweets
0,22,yesterday,"I was in an amazing space yesterday with @lorigraceaz and @Cardelucci and many other amazing women NFT artists who came together to discuss how we can gain equity in this space and support each other. 

This project aims to do just that in a very direct way. 
Check it out!"
1,22,yesterday,@whenlamboBU @SirWilliamEth @NFTethics coordinated shill yesterday by this group for @fRiENDSiES_Ai that tried to extract $100 mil from the community.
0,22,record,"So here, I have been getting asked about NFT a lot and what it means. 

Full meaning
 NFT: Non-Fungible Tokens 

An NFT is a digital asset that exists on a blockchain, a record of transactions kept on networked computers. Powered by blockchain technology and very transparent 😉."
1,22,record,"""POV can solve today’s NFT challenges by creating a transparent and immutable record of the NFT across its lifespan, from the way in which it was created, moved, modified and stored, to its possible destruction..""

$VRA is the NFT STANDARD. 🚀💯 https://t.co/47CGiYqvdn"
0,22,track,@troycsmithh @Bitcoiny11 @psychedelic_nft Volts track record is way to valuable to just toss away. Trust in the project. Sit back and relax while he builds this rocket. 💚✌️
1,22,track,"👀The true value of NFTs is their combination of uniqueness and transparency. “Non-fungible” means each one is utterly one-of-a-kind, and the underlying blockchain means all sales activity is tracked with perfect accuracy. 
@protonnfts @protonmint @HunterX_NFT"
0,22,wallet,@lilyluvrr i needs a sugar daddy need a sugar mommy lost my metamask eth #nft opensea trust wallet seed phrase #nfts help with metamask lost funds binance pancakeswap connect coinbase wallet homework essay graphic design work elon musk doge hacked account key trust wallet hack not swapping
1,22,wallet,Trust wallet has been hacked metamask got hacked I need a sugar daddy my coinbase account got hacked NFT stolen scammed Bitcoin
0,22,transparency,"@N00bFT @ApeKidsClub @psychedelic_nft Absolutely understand, it’s important to have transparency in this space. All good and thank you for looking out for us and the team."
1,22,transparency,"I got into NFT’s a couple of months ago after I initially swore never to touch it, as I believed it was sketchy endeavor with zero transparency and an overall bad investment 💸

Oh boy did Artpunks really prove me wrong here. (1/5) 👇🏾
#ArtPunksLottery #ArtPunksDifference"
0,22,transparent,👀Here's another #Blender3d  #diamondtownhead ! Twinkle with transparent head⬇️Looking forward to those #sandbox avatar drops! #BlingBling #NFTcommunity #solana #StayBling #NFT #Metaverse #NFTgame  #SolanaNFT #NFTs #Play2Earn #NFTGiveaway #cryptocurrency #NFTProjects https://t.co/NVA9xsCk1X
1,22,transparent,"#NFT collectibles are mostly social flex. Which makes ""investing"" hard for someone semi-analytical like me. But the joy of a fully open and transparent market is that you can build analytics on top. Enter @degendata with punkalytics.  So good - thank you! https://t.co/hkAyey4RAZ https://t.co/ghc9W6ekRi"
0,22,trust,"I challenge every #NFT project team to release a video walkthrough of their smart contract prior to mint. 

#Transparency is the foundation of #trust.

If you won't explain your code on video, why not?

#NFTCommunity #smartcontract #web3"
1,22,trust,@metastash @BoredApeYC Doggo drop was a thing of beauty. Stealth drop where all $ went to collectors and charities. BAYC never made (or ever will make) a penny of doggos. The drop cemented them as “people &gt; purpose &gt; profit” and earned the trust of a lot of (big) collectors. That nuance is huge.
0,22,smart,"Eventually we’ll be able to code their public digital wallet address into our #nft smart contracts so royalties are paid out to them automatically, further adding trust and transparency"
1,22,smart,"No need to trust the goodwill of the game publisher anymore. #BlockchainGaming powers up not just the game but you as the gamer. #smartNFTs for the smarter #gamer

$SOUL $KCAL #GameFi #metaverse #NFT https://t.co/xYF8cWfMv5"
0,22,contract,"Chacha realizes the investment and cashing of users through decentralized smart contracts, which are open, transparent, secure and traceable. 
@Successchibz @BlaqOnyemauche @ChukwuAmah 

#Chacha #NFt #WhaleTrading https://t.co/Y6Gi63HWKp"
1,22,contract,@StargazeZone @aesmonty Seems inefficient to push a contract through a governance vote. Making it public is transparent enough. Delaying your launch for a week so people can vote on something that 99% don't understand in the first place is just nonsense to me.
0,22,nft,"🚨50 minutes left on the 1/1 auction! Currently sitting at 4 XTZ. This is the only Inklet created with the Equality message
https://t.co/6befODO4VS

#NFTCommunity #nftcollectors #NFTcollections #NFTdrop #CleanNFT #CleanNFTs #pfp #pfpNFT #objktcom #objkt #hicetnunc2000 #NFT #NFTs https://t.co/3vW3QlpjUl"
1,22,nft,"@garyvee @veefriends Super happy with my one book nft. Would love to have more diversity. I need a good reminder to be tenacious because this space can be overwhelming more often than not. But worth it for the community, inspiration and portfolio building!"
