,Topic,Word,Tweets
0,25,team,"Undoubtedly one of the most hardworking and transparent NFT communities on the $SOL network. LEO LEGENDZ has been on my radar for a while now. A strong team as well as a healthy community. This is going places.🔥🚀
Y'all check out @leolegendz_SOL
#NFTCommunity  #Solana  #NFT"
1,25,team,"22 fellaz to 4 eth. The horde is so strong right now! Love to see it 🔥💎🙌 Full trust in the team @Deadfellaz @betty_nft @psych_nft 

Reveal of frenz today aswell…!! Imma be happy whatever I get 😍 https://t.co/AcjkouRM77"
0,25,nft,"I’ve been transparent about when you need to pay attention and when I’m busy doing other things.

THIS WEEK, you need to pay attention to @BAYC2745 and @psychedelic_nft

The clock is ticking."
1,25,nft,"Looks like I am going to miss out on scooping up my favorite #NFTProjects #nfts for a bit, or until either Trust Wallet and or OpenSea stop throwing me this 70 character Error message! I'll be back at it don't worry @PinkPunkCrowd @Ulia90214093 @HoodieGang_NFT @DrogaPaTusOjos"
0,25,transparency,@PlungeFather @spencedorward1 @mbl267_NFT @ncohen1995 @wjfeng3 @LgDoucet @TheReelPhilD @taylor_stein @chugsnbugs @_GregMurray The incentive is transparency for market and product confidence. Dapper shouldn't rely exclusively on the community to reassure their userbase.
1,25,transparency,"I minted my @psychedelic_nft off the insane whitelist @BAYC2745 and team did. I was bullish then but wary, as I am of every new project. But after repeated success and huge transparency I can say I am super bullish and glad I joined the 🅿️🅰️ family. #WeAreTheNight #PAGMI 🚀"
0,25,stay,@MagicEden_NFT @Blloonsville Props to you guys for staying transparent through this mess and always looking to learn and improve. The future of the space relies on it! Onward and upward 👊 With Love from the #SovanaFam ❤️
1,25,stay,"@0xfruefrue @NFTethics If you are exposing organizations or people who are also anon and are making tons of money you’re not going to want to have your identity out there. 

I’d rather someone who is pointing out the bad stay anon rather than someone I’m giving money to."
0,25,join,"Our public sale is live!

Will you join our mission to help empower women in NFTs?

65+ ETH from the project's mint will support women’s causes and advance diversity:

❤️https://t.co/igAUFHeaCQ

Each NFT is only .029 ETH! https://t.co/DCr3Ogxgxh"
1,25,join,"🙌🏾Welcome to everyone joining us from CertiK. 🙌🏾

Orica is the leading ethical NFT platform and creator community. 
👊🏽 https://t.co/d067IWFMt3

📍See our launch project:
https://t.co/p37lMcj7zL

Meet ORI, our native token:
🐳 https://t.co/l4VLPoaxAW

Chat: https://t.co/wS79Wf9L7J https://t.co/ujoIgx7OmC"
0,25,member,"I only tweet the #nfts or projects I believe in, I'm transparent about my positions and everything said is #NFA 

I only get involved with projects I trust... Remember I'm human and I can be wrong.

#wagmi #fantom #nft #BlueChipNFT $ftm &gt; $eth $sol $avax"
1,25,member,"7/ Also, we will soon invite the influencers of Terra to a forum to discuss the next steps and best options we can take. Please remember, the relationship and trust we have built on this Terra community is the strongest asset which will allow this community to rise again."
0,25,project,"So I created a new collection and a new account on #opensea.

I ask you to support me by going to like / share my projects or for the craziest, why not buy one? 

Thanks everyone and don't trust anyone.

New #opensea account : https://t.co/WMt7dEeIKN

T.A"
1,25,project,"I didn't know the creator of Aku World is a former MLB player @Micah_Johnson3. With more Visa partnered creators, it's easier to get the project developing and going. In a way, it means more trust in further project devs. 

#akuworld #NFT"
0,25,trust,"Sorry but this isnt a bear market, we havnt even broke 30k! NFT's had record volume last month, fitness apps pumping like fuck, ppl killing it and mother fkers celebrating this shit like its their first ""bearthday"", bitches when a real bear hits you wont be celebrating trust me!"
1,25,trust,"8204 Nano Vakita is 1 of the 2 Holo has horns, #dragon horns specifically.  Do we find the warrior mentioned 2000 years old in Mahabharata?

4986 Virus Deacon well known holo. today has a good fight against Vakita irl. All sparkles came from a trust fight, a war to begin?

#nft https://t.co/6nNyktlNAq"
0,25,community,"@garyvee Trust the timing and process! I always say this to our @UltiArena community. We are about to launch our first product - NFT Marketplace for gaming assets, the first of its kind, and which I firmly believe will revolutionize NFT use cases. Let's talk, Gary! https://t.co/hFIpqbeISN"
1,25,community,"Whats different about $mandox?
Honestly, our focus on helping others is going to change the crypto space.
Out transparency and trust in the community is growing every day and is the foundation of MANDOX.
Our NFT platform and 10K NFTs will be no ordinary drop. 👀 https://t.co/plxgiiTuhG"
0,25,discord,"Art from the heart. Grab a Bob and qualify for the IMMINENT $MORAL airdrop. Entirely community driven with REAL long term utility and value. Fully doxxed core team. Follow us on @Moralguys and join our discord.
#NFTCommunity #NFT #NFTs 
#Crypto https://t.co/PFZeWjJkOq"
1,25,discord,"Our discord is more than up &amp; running! Trust me, you won’t want to miss out on the opportunity of a lifetime. We’re changing the way we use &amp; view NFTs. We’re giving back to YOU. Come play the game.
#NFTs #NFTgame #NFTCommunity #NFTProject #NFTart #DeckHeads #NFT #Ethereum"
