,Word,Tweets
0,mint,@Swopes It’s rooted in racism apparently. We use the phrase ‘reserved mints’
1,mint,"Have a personal connection with your #NFT! Come mint a PixelSaurus Tri and add up to 3 traits via the same minting site / HODL the feature! 🦕🦖

Only 294 mints remain (out of 1005)!

💥 Diverse &amp; Inclusive!
💥 @OpenSea VERIFIED!

🔗 https://t.co/AibesNcvw9

#nfts #nftcommunity https://t.co/0n4CspHPak"
2,mint,"10/ If someone asks about why they initially announced an astronaut to be part of the project, one of the founders said he screwed up and asks an ambassador to better answer the question. The ambassador then basically says: wait till after mint and then we go to the moon. https://t.co/G5CucS65CT"
3,mint,"6/ We did not create the PDF document that was released, couldn’t edit the document and didn’t have time to create a proper thread in advance of minting. In the end we decided that sharing the info would outweigh the potential downsides of the document and not releasing it."
4,mint,"2/ Via the OpenSea link below, you can see a select group of about 40 people that received “NFTs minted by Party Round for Yuga Labs investors to celebrate their investments”. We confirmed that these are genuine (seed) investors. https://t.co/phDWGuGilG"
0,hour,"7/ He furthermore claims that the whole team is working 20 hours a day, that they created something only Google also has (and therefore can't elaborate on that), and that their whole team consists of geniuses. He does not seem to understand how unbelievably unbelievable he sounds"
1,hour,"PUBLIC SALE MINTING in just 7.5hours… 

Who’s ready to Take Up Space?! ✊🏽

#QueerNFT #LGBTQNFT #Diversity #WomenLedNFT #NFTProject https://t.co/CB9RrWiQuI"
2,hour,"NFT DROP: Diverse Metaverse Auction 💚👽🔥

Fun friday: no price set, 1 hour to go! Highest offer will be chosen, no minimum limit...who will own this cosmic babe exploring on her bike into the unknown... 💚 👀

 (1pm BST)
https://t.co/7d6gRFAXJS

#WomenInNFTs  #NFTCommunity #NFT https://t.co/Pt4YY5U8y8"
3,hour,"PUBLIC SALE MINTING in just 7.5hours… 

Who’s ready to Take Up Space?! ✊🏽

#QueerNFT #LGBTQNFT #Diversity #WomenLedNFT #NFTProject https://t.co/CB9RrWiQuI"
4,hour,"7/ He furthermore claims that the whole team is working 20 hours a day, that they created something only Google also has (and therefore can't elaborate on that), and that their whole team consists of geniuses. He does not seem to understand how unbelievably unbelievable he sounds"
0,early,"4/ Our advice in general is: if a project is clearly created for the sole short-term purpose of a money grab/scam, don’t mint. It’s quite easy to see if projects really invested in a long-term roadmap and are open to constructive feedback and transparency."
1,early,"62/ In the early days of the Larva Labs discord Channel, Beanie has told many things which we have now confirmed to be true. He revealed that he owned a real licensed casino company that was run by Owlman. https://t.co/PBqTZ7iqU4"
2,early,"@artskooltourist @Friendswithyou The tweet served the purpose to show that they were ""reasonably early"" active in the NFT space and connected with many currently quite prominent NFT ""influencers""."
3,early,"8/ We see a lot of messages about inclusive, but when you start a Dutch Auction at 3.33 ETH (those who buy early will be able to snap up the rare traits), you are favoring the rich and are not really ""inclusive"". https://t.co/0Y1pnt7bxZ"
