,Word,Tweets
0,long,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/1JADFMNTkq"
1,long,"1/ Maybe it's interesting to mention some background on Crypto888crypto, someone already quite long active in the crypto world by shilling low Market Cap (MC) alt coins. He has deleted many tweets and also confirmed that, but we still have them all saved.

https://t.co/LHsLKB9itl https://t.co/uzBRZsWilW"
2,long,"It's a well-known trick if you have been long enough in this space. It's possible that for certain projects (certainly those with unethical people) the ""insiders"" know the metadata before the reveal, so they are able to snap up all the rare items for cheap
https://t.co/8TMBhQn0Ro"
3,long,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/VmQ9AWUNbb"
4,long,@DylKohlman We have never been paid by anyone and will never even accept any payments and/or donations. This video was already long ago identified as completely fake: https://t.co/tSlSHLdovf
0,space,"1/ We already mentioned earlier that in a completely unregulated market such as the NFT space, the most immoral and least ethical people always win. And they brag about it as well, so we are posting 2 threads that confirm that point. Thread 1:
https://t.co/YDv2nsofEj"
1,space,"The least trustworthy people in this space are often also the most greedy and productive ones. The majority of (slow) rugs &amp; scams are created by repeat offenders who jump from project to project. And they continue to find new victims who are new &amp; naive.

https://t.co/ElH2kNiN7t"
2,space,"1/ What we will present is all public information, but might still be of interest to some. Just to show that what in the normal world is called ""insider trading"", in the NFT space is called ""Alpha"". Many people will know OhhShiny, and his many contributions to this space. https://t.co/JwjQlNq03K"
3,space,"NFT DROP 🔥 In my space 🪐
Illustration digital art piece inspired on @crystalhefner

DIVERSE METAVERSE ❤️‍🔥 1/1 NFTS 👽

https://t.co/hzGnG6NuMD

#WomeninNFTs #NFTs #NFTCommunity  #NFTdrop #NFTGiveaway #PolygonNFT #aliennft https://t.co/JYlNNAC04O"
4,space,"@hunconscious Not necessarily earn my place, but I see women not being taken as seriously. Talked over or not given time in Twitter spaces, a lot of mansplaining dms, misgendering etc. I think people overlook the hurdles and barriers in place for many women and gender diverse folks here"
0,founder,"We’re the first NFT project focused on creating diverse leaders. But we’re not stopping there!

Other key roadmap initiatives include:

💸Funding for diverse founders
🤝Mentorship Programmes
🧑🏽‍💻Web3 Onboading &amp; Education
🏳️‍🌈10% of our mint is dedicated to grants for BIPOC + LGBTQ."
1,founder,"Almost every day for two weeks, a new project founder has dm’d me looking for moral support after dealing with intense harassment. We need to cultivate a culture that maintains a certain level of respect for each other as humans - mental health isn’t something you can buy. 1/"
2,founder,"2/2 If founders are serious about their NFT project and have launched it successfully, we are on the opinion that you have to dox yourselves. Why? Because it’s a liability to the project and holders. It will at some point come out and you want to be in control of the narrative."
3,founder,Just heard about the @Blockverse_NFT rug. The project sold out yesterday in less than 8 minutes (500 ETH) and had 792 ETH in secondary sales. Discord &amp; website closed and the anon devs are gone. Do we need a federated entity that approves all NFT projects and its doxxed founders?
4,founder,Just heard about the @Blockverse_NFT rug. The project sold out yesterday in less than 8 minutes (500 ETH) and had 792 ETH in secondary sales. Discord &amp; website closed and the anon devs are gone. Do we need a federated entity that approves all NFT projects and its doxxed founders?
0,transparent,"@brddtrvllr @Crypto__Jesus_ @aatwts @haustwts We communicate publicly, as transparent as the blockchain."
1,transparent,"@tothemaxy We've done several giveaways and we always screenshot the transfers. It's important to be transparent - especially in the crypto / NFT world.
Below are examples from two of our winners, who can vouch we're one of the good guys: @Charls020 &amp; @curioso_DR. 💚🦕 https://t.co/uDceOEim0x"
2,transparent,"60/ He proclaims to like transparency but tries to remain as non-transparent as possible by using large numbers of different aliases, Twitter accounts, (anonymous) wallets, offshore proxies and front men to hide behind and manipulate people."
3,transparent,"10/ As an important player in the crypto/NFT space, do you think that MoonPay should (continue to) provide a service that actually makes transactions less transparent? It is now for example not possible for us to see if/how much Gwyneth Paltrow paid for her Bored Ape."
