,Word,Tweets
0,rule,"CONTROL YOUR OWN COMMUNITY 
🔶Creators are in-charge of their communities as opposed to the platform
🔶Creators can set their own rules &amp; create their own culture within their circles
#TrustVibes is the Creator #Ecosystem, Built for Tomorrow. $TRUST https://t.co/p5R8F8lS7q 🔥 https://t.co/RyKcwrOmnx"
1,rule,"21/ Anyone who has ever used online dating (everyone?) will understand this principle. The reality doesn’t often match the imagination, fortunately or unfortunately. But there are always exceptions to the rule, and scammers use these exceptions to convince you of the opposite."
2,rule,5/ Such events make you question who actually “rules the world” and how it’s possible that those that abused the system (e.g. banks) are actually rewarded for that by being bailed out. We have talked about perverse incentives before.
3,rule,"6/ The SEC rules do not (yet) apply to the NFT space, but those that are ""abusing"" the ""decentralized system"" are ironically also the ones that will speed up regulation. There is always a tradeoff between individual freedom and collective responsibility. https://t.co/lYEViK5BwT"
4,rule,"In a completely unregulated market such as the NFT space, the most immoral and least ethical people always win. They create the ""rules"" that benefit them most. The fact that it's ""decentralized"", makes it even more difficult to see exactly what is going. 

Always remember that!"
0,claim,"Disclaimer: we have already shown today that lots of ""scam projects"" are using similar kind of 3D images for the Metaverse (cats, bears, pigs). The above picture shows that it is not only limited to those projects, but to a much wider variety of projects that copy legitimate ones"
1,claim,"5/ And then there is a Twitter Spaces with Nima Ghassemi, the main co-founder, who claims that he will use 50% of the budget for marketing. But at the same time he also claims he has a very successful marketing company generating $3 million a year. 🤡https://t.co/Cw3lzW26cQ https://t.co/Bn70BZ5zSn"
2,claim,"1/2 - Dear @next_roy and @scott_lew_is, as the founders of @hyypeHQ, we noticed that Beanie/GM Capital claims to be an investor in Hyype. Please see the screenshots below on two of his main websites. https://t.co/wtaee0pYNx"
3,claim,"21/ Coinbase also altered its coin listing policy, potentially to accommodate Ox, which then became the first ERC-20 token to be listed. The choice to list Ox could be viewed as a blow to Coinbase's claims of transparency as 0x has a far smaller market cap than other coins. https://t.co/fzKm3A3Db2"
4,claim,"Quite a few people that claim to be or are perceived as “Artists” often forget to put the word “Con” in front of their supposed profession. Not everything that you can imagine is real – it’s often just fake, false and fraudulent. Intelligence has its limits, but stupidity not. https://t.co/JR8SbHmXoB"
0,web,"Did you know our co-founders @hrpeacock_ and @thisispaff have the best queerest lovestory of all time?! 

Hear all about + how TUS was founded, coming out late &amp; why diversity in web3 is SO important👇🏽

HUGE thank you to @QueerRise for making space❤️‍🔥🏳️‍🌈🏳️‍⚧️

https://t.co/gEAhrdso2r"
1,web,"On the Twitter page and website of @WeatheReportNFT, they mention that ""a storm is coming"".

Not sure if they were referring to the document that the artist just released about this project, but it doesn't look good (or ethical).

https://t.co/rIrWUalPEE"
2,web,"The result? Every single TUS community member (or as we call them, Changemakers) is empowered to create change and become a leader in web3 and beyond. ✊🏼✊🏽✊🏾✊🏿

The utility is becoming the BEST version of yourself. 

Alongside the most diverse &amp; inclusive community in web3."
3,web,"@areaeighteen We love @HoneyBadgesNFT - actively funding Changemakers and bringing more diverse folk into web3! 

@MMonstersClub are LGBTQ owned &amp; operated, are providing accessible education for marginalised folks 

@MadJellyHQ diverse-led &amp; always advocate for inclusivity &amp; equity in web3"
4,web,"Calling all diverse marketers looking to pivot into web3! 💥

We’ve partnered with the brilliant @futurelilith who is curating the best web3 marketing roles, right here in the TUS discord. 

Roles from @Ledger, @rarible &amp; more up now! 

Join here👉🏽 https://t.co/mJj3QUFp6C https://t.co/iJKMQBQzMm"
0,ethics,"If you have a large audience in this space, you have a moral responsibility to work by a code of ethics that has people’s best interests in mind. Transparency or gtfo."
1,ethics,"If you have a large audience in this space, you have a moral responsibility to work by a code of ethics that has people’s best interests in mind. Transparency or gtfo."
2,ethics,@NFTethics I prefer it when you guys don’t display a personality or sense of humour; makes it feel more srs.
3,ethics,@NFTethics @farokh @RugRadio @greatmando_nft @belikewater893 @pranksy I also stated I invested here 👍:
4,ethics,@NFTethics @farokh @RugRadio @greatmando_nft @belikewater893 @pranksy I also stated I invested here 👍:
0,video,"@digitalartchick – in your video from 22 Nov 2021 you said: ""I decided that I'm going to dox myself”. But in your message from 20 Jan 2022 you mention that you wished you had “stayed fully anon”. What is the latest and why your regrets? Asking for a fren. https://t.co/E1K90fa55B https://t.co/jshBafCfhm"
1,video,"12/ For those that only believe things when they hear it (most won't have ever seen him, but will recognize his voice), we provide hereby a short part of a video in which you can hear his voice. He is not visible, because we cut it in such a way that no one is recognizable. https://t.co/bLZNVrYTre"
2,video,"There are apparently lots of new people in the NFT space since February, because the video that is going around has already long proven to be completely fake and fabricated. We have never taken any money from anyone in any shape or form and never will.

https://t.co/zHO8CVCZ9n https://t.co/cy51MCHICt"
3,video,"Great video today by @DappcentreDPC discussing our strategic partner🤝 @OfflineExchange. 
Thanks for the #TrustVibes #Partnership shoutout at the end. 🎉👊 
Check out the full video below.👇
📺https://t.co/GgvwVGTYge
#BinanceSmartChain $TRUST #Metaverse #NFTs"
4,video,@DylKohlman We have never been paid by anyone and will never even accept any payments and/or donations. This video was already long ago identified as completely fake: https://t.co/tSlSHLdovf
0,token,"21/ When typing in the real name of Owlman into OS, an ENS domain showed up attached to an account (0x08ac0605d7dca266735e9686dd90285b9e4952f0) with an interesting history. It was the deployer of CBET, a “scam token”, associated with a variety of “scam projects”, incl. TokenPay. https://t.co/HD29IBYdHe"
1,token,"21/ When typing in the real name of Owlman into OS, an ENS domain showed up attached to an account (0x08ac0605d7dca266735e9686dd90285b9e4952f0) with an interesting history. It was the deployer of CBET, a “scam token”, associated with a variety of “scam projects”, incl. TokenPay. https://t.co/HD29IBYdHe"
2,token,"21/ When typing in the real name of Owlman into OS, an ENS domain showed up attached to an account (0x08ac0605d7dca266735e9686dd90285b9e4952f0) with an interesting history. It was the deployer of CBET, a “scam token”, associated with a variety of “scam projects”, incl. TokenPay. https://t.co/HD29IBYdHe"
3,token,"18/ Scalar’s founders invested in 0x’s public token sale before Coinbase listed it. Scalar’s co-founder Linda Xie is married to Will Warren, co-founder of 0x Labs’, the last employer of Zagabond, where he was a founding member and worked for more than 4 years. https://t.co/NZ8b9QgMjI"
4,token,"❓❓❓ What solutions does Trust Vibes offer? 

✔ TrustVibes uses a DAO system of governance. All decisions are made by the #TRUST token holders in a decentralized manner, depending on the number of votes.

👉 Visit to know more👇 

✔ Website: https://t.co/AZIRWio4jj https://t.co/QpHO5Oks30"
0,winner,"@tothemaxy We've done several giveaways and we always screenshot the transfers. It's important to be transparent - especially in the crypto / NFT world.
Below are examples from two of our winners, who can vouch we're one of the good guys: @Charls020 &amp; @curioso_DR. 💚🦕 https://t.co/uDceOEim0x"
1,winner,"@tothemaxy We've done several giveaways and we always screenshot the transfers. It's important to be transparent - especially in the crypto / NFT world.
Below are examples from two of our winners, who can vouch we're one of the good guys: @Charls020 &amp; @curioso_DR. 💚🦕 https://t.co/uDceOEim0x"
2,winner,30/ They recently had a giveaway but the wallets that they mentioned as being the winners of that giveaway were made-up wallet addresses – they don’t exist on the blockchain. https://t.co/6dO6ftTcFI
3,winner,"2/ “in the interest of TRANSPARENCY, the winners can choose whether or not they wish to be revealed publicly”. Don’t be surprised if the winners don’t want to be revealed and the siblings of the founders are all suddenly driving in lambos. https://t.co/AkqA3OMBWp"
4,winner,"2/ “in the interest of TRANSPARENCY, the winners can choose whether or not they wish to be revealed publicly”. Don’t be surprised if the winners don’t want to be revealed and the siblings of the founders are all suddenly driving in lambos. https://t.co/AkqA3OMBWp"
0,transparent,2/ We provided some info about a good person in the NFT space who is fully doxed and has been fully transparent. And still there was a little skeleton in the closet (not the drugs). You can imagine the graveyards that are hiding behind those that are not doxed and non-transparent
1,transparent,"❓❓❓ What problems does TrustVibes solve? 

✔ Creators do not receive fair rewards for work. 
✔ Distribution of rewards for authors is not transparent. 
✔ NFT is a great opportunity, thanks to transparency of blockchain, to record your work in blockchain and get income. https://t.co/9W1GwBla9X"
