,Word,Tweets
0,mint,"6/ It shows that new incentive-based contracts are required. An example could be that 10% of all the mint money goes to the project founders, and 90% to a community wallet. Only after a milestone on the roadmap is met, a percentage of the money will be paid out to the founders."
1,mint,"Is that a PixelSaurus we see on the OFFICIAL @SanDiegoNFTCon banner? YES!!! 🤩🦕🦖

💥 Over 60% minted!
💥 Diverse &amp; inclusive!
💥 VERIFIED #OpenSea account!

Mint YOUR PixelSaurs whilst we still have some available!👇
🔗 https://t.co/MhGyUSfkpv

#nft #nfts #MintASaurus https://t.co/lYpRhpZ1Ic"
2,mint,"We appreciate the fact that @bapesclan published the whole doxxed team on their webpage. It makes it much easier to do a bit of background checking (which saves us a lot of time), and we will certainly find much more about this project before minting.

https://t.co/22ZIUxgO4H https://t.co/BFMwANNzx7"
3,mint,"5/ We have seen the auction at Christie's a couple of days ago of 9 mint passes from Friendswithyou that all sold for a lot of money. But when you dive into these transactions, you see that all these accounts that bought them for &gt;30 ETH are all in some way (inter)connected. https://t.co/bNKhXfE3kd"
4,mint,"GM #RAWRsome Fam! ☀️

PixelSaurus Tri is now OVER 75% MINTED! 🌋🦕🦖
🔗 https://t.co/AibesNcvw9 (Mint Price: 0.05)

Mint YOUR PixelSaurs &amp; be part of the story!

💎 Fun, family friendly &amp; diverse #nfts!
💎 5 x Innovative Utilities!
💎 Safe &amp; secure #NFT minting!

#rawr #dinofam https://t.co/CuFzCIsTfs"
0,lfg,"6/ It shows that new incentive-based contracts are required. An example could be that 10% of all the mint money goes to the project founders, and 90% to a community wallet. Only after a milestone on the roadmap is met, a percentage of the money will be paid out to the founders."
1,lfg,"Is that a PixelSaurus we see on the OFFICIAL @SanDiegoNFTCon banner? YES!!! 🤩🦕🦖

💥 Over 60% minted!
💥 Diverse &amp; inclusive!
💥 VERIFIED #OpenSea account!

Mint YOUR PixelSaurs whilst we still have some available!👇
🔗 https://t.co/MhGyUSfkpv

#nft #nfts #MintASaurus https://t.co/lYpRhpZ1Ic"
2,lfg,"We appreciate the fact that @bapesclan published the whole doxxed team on their webpage. It makes it much easier to do a bit of background checking (which saves us a lot of time), and we will certainly find much more about this project before minting.

https://t.co/22ZIUxgO4H https://t.co/BFMwANNzx7"
3,lfg,"5/ We have seen the auction at Christie's a couple of days ago of 9 mint passes from Friendswithyou that all sold for a lot of money. But when you dive into these transactions, you see that all these accounts that bought them for &gt;30 ETH are all in some way (inter)connected. https://t.co/bNKhXfE3kd"
4,lfg,"GM #RAWRsome Fam! ☀️

PixelSaurus Tri is now OVER 75% MINTED! 🌋🦕🦖
🔗 https://t.co/AibesNcvw9 (Mint Price: 0.05)

Mint YOUR PixelSaurs &amp; be part of the story!

💎 Fun, family friendly &amp; diverse #nfts!
💎 5 x Innovative Utilities!
💎 Safe &amp; secure #NFT minting!

#rawr #dinofam https://t.co/CuFzCIsTfs"
0,holder,"🚀 💗 Ive teamed up with @CryptoNeonGirls for a collaboration that’s out of this world!👽

All Neon Girl holders will be entered to win a custom Diverse Metaverse 1/1

All Galaxy Girlz holders will be entered to win a custom Neon Girl 🌙 #nft #NFTGiveaway #nftdrop details below https://t.co/qfHKHthyjg"
1,holder,"1/3 This time a positive shout-out to a true OG, the once number 1 CryptoPunk V1 &amp; V2 holder for over 2 to 3 years, @soldthebottom, who just returned 2 punks that he exploited in June 2017 to their original owner with a combined value of $70k. https://t.co/KLA9wJaHtf"
2,holder,"LOVE IS IN THE AIR🥰 To celebrate Valentine’s Day, #TrustVibes is giving away a 'Limited Edition' TrustValentine #NFT to every $TRUST holder. 🎉 ✅Make sure you are holding at least 100+ $TRUST tokens in your wallet to be eligible. 🔥📸Snapshot: 14th February 11:59pm UTC https://t.co/LigTHQ3ofo"
3,holder,"@0xQuit Many people are often not able to predict in advance which projects are ""going to help us build"", certainly not when the founders are undoxxed. Less or no money upfront means less incentive to scam, and almost no liquidity drain. Now it's 0% risk for founders, 100% for holders."
4,holder,"16/ Many OG holders asking critical questions about the project were banned from the Discord. And when Beanie was asked whether he knew RGT, he denied ever having heard of it (see screenshots). But, in actual fact, it turns out he is the owner of RGT. https://t.co/rjhvuK8fyC"
0,transparent,"1/ It’s sad to see that the Russian people have so long been represented by leaders that have reflected everything that Web3 doesn’t stand for: repression of (political) opponents, censoring and suppression of the free press and lack of free, fair and transparent elections."
1,transparent,"A lot of what goes into the building an #NFTproject is unsaid and behind the scenes. 

But at Take Up Space we don’t believe in gatekeeping. 

Here’s a bit more of a transparent look at what week 3 in web3 looked like for us. [THREAD] 🧵👇🏽"
2,transparent,"10/ As an important player in the crypto/NFT space, do you think that MoonPay should (continue to) provide a service that actually makes transactions less transparent? It is now for example not possible for us to see if/how much Gwyneth Paltrow paid for her Bored Ape."
3,transparent,@littlelauchie Marketing doesn’t equate to inorganic growth imo - it’s a funny place because it changes so quickly what works one month won’t work the next but as long as you’re authentic and transparent about your practises (ie avoiding paid shills etc) you’re good
4,transparent,"6/ Even though the blockchain provides transparency, these people use the fact that their relationships IRL are not transparent and obvious. And so you are often deceived by a web of people that are IRL all (inter)connected and centralized."
0,marketing,Gendered marketing sucks in general. It also totally disregards gender diversity and those that are gender fluid. Let’s just like what we like and fight against toxic gender roles 💪
1,marketing,Gendered marketing sucks in general. It also totally disregards gender diversity and those that are gender fluid. Let’s just like what we like and fight against toxic gender roles 💪
2,marketing,"5/ And then there is a Twitter Spaces with Nima Ghassemi, the main co-founder, who claims that he will use 50% of the budget for marketing. But at the same time he also claims he has a very successful marketing company generating $3 million a year. 🤡https://t.co/Cw3lzW26cQ https://t.co/Bn70BZ5zSn"
3,marketing,Gendered marketing sucks in general. It also totally disregards gender diversity and those that are gender fluid. Let’s just like what we like and fight against toxic gender roles 💪
4,marketing,"Calling all diverse marketers looking to pivot into web3! 💥

We’ve partnered with the brilliant @futurelilith who is curating the best web3 marketing roles, right here in the TUS discord. 

Roles from @Ledger, @rarible &amp; more up now! 

Join here👉🏽 https://t.co/mJj3QUFp6C https://t.co/iJKMQBQzMm"
0,growing,"Be part of the fastest growing pixel Dinosaur #NFT project on the blockchain!

✅ Over 600+ diverse designs!
✅ Embraces disability &amp; mental health!
✅ Over 2.4 ETH in #NFTs traded!
✅ Verified #OpenSeaNFT account!

🦖Rex: https://t.co/hJuV9uxwXc
🦕Bronto: https://t.co/jk61Izkks4 https://t.co/ZvyH2oovUU"
1,growing,"Be part of the fastest growing pixel Dinosaur #NFT project on the blockchain!

✅ Over 600+ diverse designs!
✅ Embraces disability &amp; mental health!
✅ Over 2.4 ETH in #NFTs traded!
✅ Verified #OpenSeaNFT account!

🦖Rex: https://t.co/hJuV9uxwXc
🦕Bronto: https://t.co/jk61Izkks4 https://t.co/ZvyH2oovUU"
2,growing,"Be part of the fastest growing pixel Dinosaur #NFT project on the blockchain!

✅ Over 600+ diverse designs!
✅ Embraces disability &amp; mental health!
✅ Over 2.4 ETH in #NFTs traded!
✅ Verified #OpenSeaNFT account!

🦖Rex: https://t.co/hJuV9uxwXc
🦕Bronto: https://t.co/jk61Izkks4 https://t.co/ZvyH2oovUU"
3,growing,"Be part of the fastest growing pixel Dinosaur #NFT project on the blockchain!

✅ Over 600+ diverse designs!
✅ Embraces disability &amp; mental health!
✅ Over 2.4 ETH in #NFTs traded!
✅ Verified #OpenSeaNFT account!

🦖Rex: https://t.co/hJuV9uxwXc
🦕Bronto: https://t.co/jk61Izkks4 https://t.co/ZvyH2oovUU"
4,growing,"Be part of the fastest growing pixel Dinosaur #NFT project on the blockchain!

✅ Over 600+ diverse designs!
✅ Embraces disability &amp; mental health!
✅ Over 2.4 ETH in #NFTs traded!
✅ Verified #OpenSeaNFT account!

🦖Rex: https://t.co/hJuV9uxwXc
🦕Bronto: https://t.co/jk61Izkks4 https://t.co/ZvyH2oovUU"
0,project,This is a very unique and important project I feel. A touching and poignant insight into how cancer affects so many. *full disclosure/transparency this is something that has been created by one of my close friend’s elderly father
