,Word,Tweets
0,rich,"Immerse yourself in our expanding world, rich in stories, inclusivity, diversity and utility! 🦕🦖

Minting the #NFT is just the start…👇
🔗 https://t.co/MhGyUSfkpv

#nfts #NFTCommunity #OpenSeaNFT #NFTCollector https://t.co/rXabfMHI7V"
1,rich,"The beauty of Web3/crypto/NFTs is that it connects the poor with the rich, the naifs with the cynics, the moralists with the crooks, the loyalists with the opportunists and they all pretend they and you are winning. Their ideology is based on hypocrisy, immorality and ignorance."
2,rich,"It's not uncommon that ""insiders"" know the metadata before the reveal, so they are able to snap up rare items for cheap. Recently even the son of the 3rd richest person in the world was accused of this.

Be careful with @StarcatchersNFT and @BokiNFT.

https://t.co/E3RPYrS38x"
3,rich,"4/ This is short list of the richest people in crypto. It does not feature the 2 billionaire founders of OpenSea and others. Ask yourself the question how it's possible that so much money is ""centralized"" to only a few people in this ""decentralized"" world.
https://t.co/eqstvBqeeH"
4,rich,19/ Counties such as Canada are happy to welcome rich people from Iran using the “no questions asked” policy. This is just one example – we could have equally mentioned many other countries but it’s just to make the point that many countries have similar policies. https://t.co/32G89Oljjw
0,moon,"1/ Some people contacted us to ask our opinion on @moonbirds_xyz that is minting tomorrow for 2.5 ETH, which would take out more than 75 million USD out of the ecosystem. As usual, many are afraid to speak out because they don't want to offend ""powerful"" Web3/NFT influencers/VCs. https://t.co/YXvAqs8mwn"
1,moon,"NFT DROP 🔥 Cosmic moon child

DIVERSE METAVERSE ❤️‍🔥 1/1 NFTS 👽

https://t.co/3IT5tqRfvV

#WomeninNFTs #NFTs #NFTCommunity  #NFTdrop #NFTGiveaway #PolygonNFT #Aliennft https://t.co/5Nz9ZFQzyV"
2,moon,"4/ This example highlights the issue of “perverse incentives”. Founders get most of the money during the minting process when the project is only based on “hype”. This continue during the “honeymoon period”, when still a lot of things are promised and OS royalties are flowing in."
3,moon,"@NFTethics @moonbirds_xyz I’m gutted because when you first came into the scene you wrote good shit and it was a real prevention mechanism for future scammers. 

Now that you have lost most of your credibility I think potential scammers might feel more encouraged. 

It’s a shame really."
4,moon,"13/ Your thoughts on @moonpay's ""concierge service"" that seems to provide celebrities with free bored apes while providing the illusion to the outside world that they really paid for them would also be most appreciated.

https://t.co/C8PvVp9W7W"
0,swap,"NEW LISTING #TrustVibes have partnered🤝 with @OfflineExchange to list our @Trustworks_NfT $TRUST token. https://t.co/nDSRNkbICu is building the first offline #crypto platform, giving you the freedom to send, receive, swap, trade your coins without an internet connection.🚀 https://t.co/mpXRoKQcwl"
1,swap,"NEW LISTING #TrustVibes have partnered🤝 with @OfflineExchange to list our @Trustworks_NfT $TRUST token. https://t.co/nDSRNkbICu is building the first offline #crypto platform, giving you the freedom to send, receive, swap, trade your coins without an internet connection.🚀 https://t.co/mpXRoKQcwl"
2,swap,"NEW LISTING #TrustVibes have partnered🤝 with @OfflineExchange to list our @Trustworks_NfT $TRUST token. https://t.co/nDSRNkbICu is building the first offline #crypto platform, giving you the freedom to send, receive, swap, trade your coins without an internet connection.🚀 https://t.co/mpXRoKQcwl"
3,swap,"NEW LISTING #TrustVibes have partnered🤝 with @OfflineExchange to list our @Trustworks_NfT $TRUST token. https://t.co/nDSRNkbICu is building the first offline #crypto platform, giving you the freedom to send, receive, swap, trade your coins without an internet connection.🚀 https://t.co/mpXRoKQcwl"
4,swap,"NEW LISTING #TrustVibes have partnered🤝 with @OfflineExchange to list our @Trustworks_NfT $TRUST token. https://t.co/nDSRNkbICu is building the first offline #crypto platform, giving you the freedom to send, receive, swap, trade your coins without an internet connection.🚀 https://t.co/mpXRoKQcwl"
0,eth,"On the Twitter page and website of @WeatheReportNFT, they mention that ""a storm is coming"".

Not sure if they were referring to the document that the artist just released about this project, but it doesn't look good (or ethical).

https://t.co/rIrWUalPEE"
1,eth,"2/ “in the interest of TRANSPARENCY, the winners can choose whether or not they wish to be revealed publicly”. Don’t be surprised if the winners don’t want to be revealed and the siblings of the founders are all suddenly driving in lambos. https://t.co/AkqA3OMBWp"
2,eth,4/ We noticed that some Bored and Mutant Apes have been transferred (for free) to MoonPay’s OS account from different other accounts including (for example) @nft42_/@j1mmyeth’s OS account. Can you clarify why that is the case and how these people have been compensated? https://t.co/AwVJmutf9t
3,eth,"More than 3 months ago, the ratio of well intentioned projects and bad intentioned ones was probably around 80%-20%. 

That ratio has in our view shifted: 80% are now likely scams and 20% are projects that really want to build something.

This makes sense:
https://t.co/8CZaqzAiRj"
4,eth,"3/ Other people also found connections between the 2 projects. We saw that yesterday an article was published that said that we were paid to publish FUD and that we are unethical.

It actually looks like someone paid to make it look as if we were wrong.

https://t.co/T4PXr56HMF https://t.co/ZdkJq5WQE3"
0,price,"1/ CerealClub that is minting today is a scam. Associated with Squiggles and having a mint price of 0.5 (via a Dutch auction going to 0.1), which worst case would net the project &gt;$11 million USD. Team is completely anonymous and https://t.co/AHW8mTkmwV"
1,price,"0.08 floor! 📈🦕🦖🌋
Our floor is nearly DOUBLE our mint price!!!

Mint your PixelSaurus Tri's and be part of a fun, diverse, inclusive and profitable #NFT project! Join the #RAWRsome Club!

🔗 https://t.co/AibesNu6nH

#nft #nfts #rawr #pixelsaurus https://t.co/YzyzG61sqw"
2,price,"1/ We received quite a lot of requests to look at @metamansionsnft, which is minting later this week. The mint price alone (0.88 ETH) is already a red flag, but there are many more. They are doing a “giveaway” of 888 ETH (10% of the mint profit) but only when it sells out AND…"
3,price,"0.08 floor! 📈🦕🦖🌋
Our floor is nearly DOUBLE our mint price!!!

Mint your PixelSaurus Tri's and be part of a fun, diverse, inclusive and profitable #NFT project! Join the #RAWRsome Club!

🔗 https://t.co/AibesNu6nH

#nft #nfts #rawr #pixelsaurus https://t.co/YzyzG61sqw"
4,price,"ELLIPTICAL ORBIT💫🪐⚡️⚡️ 1/1 NFT listed in DIVERSE METAVERSE collection! Floor price 0.01Eth, dont miss these unique artwork pieces👽💫

https://t.co/pZflWdOvgk

#WomeninNFTs #alien  #NFTs #NFTCommunity  #opensea #WomeninNFT #animation https://t.co/snrCrCOSGI"
0,nft,"24/ Also remember that if you ever see a tweet from @jf_nft in which he asks which NFT to buy, he is likely buying it with your money that he gained via all kinds of dodgy scams. This whole space is filled with charlatans, and many are high profile names that operate in networks."
1,nft,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/VmQ9AWUNbb"
2,nft,"Gm Friends
I Repost for new followers
#TheGuardianMuses ❤️090
Proud to promote Diversity🙌

#NFT #NFTs #nftart #nftcollector #art #artist  #OpenSeaNFT
#NFTCollection #NFTCommunity https://t.co/jgsnCNhyQq via @opensea"
3,nft,"GM #NFT Fam! Gas is LOW! ADOPT a #PixelSaurus this weekend and Join The Story. 🦕
🔥 Over 350+ diverse designs!
🔥 Embraces disability &amp; mental health!
🔥 From just 0.02 ETH!
🔥 FREE QR Code Utility unlockable!
➡️ https://t.co/jk61Izkks4

#NFTs #nftcollector #NFTcollectibles https://t.co/JLpUDMrTNa"
4,nft,"VR Worldz 1/1 NFT listed in the DIVERSE METAVERSE 👽

https://t.co/eFl0nKiR0p

#WomeninNFTs #NFTSPACESHIP  #NFTs #NFTCommunity  #opensea #WomeninNFT #nftcollector https://t.co/0rlstshoC2"
0,trust,"With the #TrustVibes #NFTMarketplace just around the corner🤯 @JustinWBratton interviews🎙️ @hafiizkarim, a talented young Singaporean #NFTartist making waves in the #NFT Community. Keep an eye on this #DigitalArtist.🔥 #ArtistSpotlightSeries $trust 🚀  https://t.co/fh1mdW13gM"
1,trust,"3/ The NFT was immediately sold after it was transferred. Scammers are abusing the trust that people generally have in the digital space (instilled by Web2), and it's truly sad to see that we are forcing people to become far less trustful towards others because of all these scams https://t.co/kktbDTHaMF"
2,trust,"12/ We also don’t want to punish people who happened to be “fortunate” enough to discover the NFT space first, but we need to be able to trust the people that are currently so influential in this space based on their actions (read: blockchain behavior)."
3,trust,@blawgchain @SuperRareLabs @SuperRare I'm a large holder of $RARE and I'm totally cool with it. I have my full trust in the team and for me that's the biggest reason I haven't sold and actually bought more in addition to my airdrop. I'm happy to just chill and let them take the wheel; interests aligned.
4,trust,"12/ We also don’t want to punish people who happened to be “fortunate” enough to discover the NFT space first, but we need to be able to trust the people that are currently so influential in this space based on their actions (read: blockchain behavior)."
0,ape,17/ In some podcasts you can’t escape the thought that they have used their young audience in the esports space to attract their parents to become part of this particular NFT project. The influence of esports/Fortnite streamers in the NFT space cannot be underestimated.
1,ape,15/ But guess what? He was picked up by Kungarna - for which two of the founders of Bapes are working. https://t.co/XnaR8FPUb0
2,ape,"NFT DROP ❤️‍🔥 Galactic ape🌙👽

listed in the Diverse Metaverse on @opensea

💚 0.04 $ETH Polygon 
https://t.co/KYrhlUeBpN

#WomenInNFTs #NFTProject #NFTCommunity #NFTs #apeNFT #apefollowape https://t.co/iyMRJaB9Wd"
3,ape,"15/ Just so that people know, @NFT asked $20000-$25000 per IG post and the minimum amount was 5 posts, to they would rake in anyway $100k- $125k per project! They also suggested that more posts is relatively cheaper, so ideal for scammers with multiple projects. https://t.co/pe18LOJWDy"
4,ape,17/ In some podcasts you can’t escape the thought that they have used their young audience in the esports space to attract their parents to become part of this particular NFT project. The influence of esports/Fortnite streamers in the NFT space cannot be underestimated.
0,issue,"PixelSaurus Tri - Minting NOW | .05!👇
🔗 https://t.co/MhGyUSfkpv

PixelSaurus have fun, diverse and inclusive #NFT collections that also embrace disability &amp; mental health issues. 🫂

With Tri you can pick up to 3 traits which we write into background stories for each PixelSaur! https://t.co/MH9LLRsrJv"
1,issue,"If you wonder why there are some issues with ""Yuga Labs' T&amp;Cs"", please note that Animoca Brands was delisted from the Australian Stock Exchange for a large number of governance, personnel &amp; compliance issues. Recently they lost their F1 license and had to shut F1 Time Delta down. https://t.co/it0zwXXJwX"
2,issue,"2/3 He actually pointed out the same issue with LarvaLabs earlier than we did yesterday, and even seems to indicate that that was the reason that LarvaLabs didn’t dump all their 1000 V1 Punks because they got caught out by him. https://t.co/FllJ19V1Y3"
3,issue,"Be part of an #NFT project that's not just fun and collectible, but doing some good along the way, too!

PixelSaurus is a diverse and inclusive project that also embraces disability &amp; mental health issues. Add up to 3 traits to your #NFTs, too!

Mint👇
🔗 https://t.co/AibesNu6nH https://t.co/V4Q1Kqe7FC"
