,Word,Tweets
0,platform,"4/ We already mentioned earlier that social media platforms have allowed their main assets, the large influencers and ""celebrity"" accounts to get away promoting all kinds of scams. And they all benefit massively from the additional engagement."
1,platform,"1/ A quick update on MontanaBlack who in actual fact seems to have &gt;20 million followers on all kinds of platforms. The story shows how many of these scam rings operate. There is always someone in the background doing the ""dirty"" work functioning as the intermediary and fall guy. https://t.co/SVtpeby664"
2,platform,"""The top 27 most expensive recorded sales across the whole NFT industry in January, totalling $1.3 billion, came from just two wallets transacting on LooksRare, while the top 100 sales, worth $2.3 billion, came from 16 wallets trading on the platform."" https://t.co/C1errwsJz3"
3,platform,"For those interested in LooksRare - the investors were already well-known (we were about to do a thread about it). It was telling to see that one of the largest investors was defending all the wash trading on the platform - even saying that ""it's genius"".

https://t.co/xgkU7uyWhW https://t.co/KWD8zQdHzc"
4,platform,"Our PixelSaurs are fun, collectible, diverse &amp; inclusive.

You'll find over 20% of our designs also embrace disability, mental health issues and phobias, which we platform in a respectful way. 🫂

With Tri, YOU can choose these traits!👇
https://t.co/MhGyUSfkpv

#NFT #NFTs https://t.co/bzKsM1D6Ag"
0,invite,"Be part of a project with a long term commitment to the #NFT space!

PixelSaurus is a fun, family friendly, diverse &amp; inclusive collectible that also embraces disability. 🫂🦕🦖

We’re over 75% through our current mint &amp; invite you to join the story👇

🔗 https://t.co/AibesNcvw9 https://t.co/MOcpaN1fXn"
1,invite,"Be part of a project with a long term commitment to the #NFT space!

PixelSaurus is a fun, family friendly, diverse &amp; inclusive collectible that also embraces disability. 🫂🦕🦖

We’re over 75% through our current mint &amp; invite you to join the story👇

🔗 https://t.co/AibesNcvw9 https://t.co/MOcpaN1fXn"
2,invite,"Be part of a project with a long term commitment to the #NFT space!

PixelSaurus is a fun, family friendly, diverse &amp; inclusive collectible that also embraces disability. 🫂🦕🦖

We’re over 75% through our current mint &amp; invite you to join the story👇

🔗 https://t.co/AibesNcvw9 https://t.co/MOcpaN1fXn"
3,invite,"Be part of a project with a long term commitment to the #NFT space!

PixelSaurus is a fun, family friendly, diverse &amp; inclusive collectible that also embraces disability. 🫂🦕🦖

We’re over 75% through our current mint &amp; invite you to join the story👇

🔗 https://t.co/AibesNcvw9 https://t.co/MOcpaN1fXn"
4,invite,"Be part of a project with a long term commitment to the #NFT space!

PixelSaurus is a fun, family friendly, diverse &amp; inclusive collectible that also embraces disability. 🫂🦕🦖

We’re over 75% through our current mint &amp; invite you to join the story👇

🔗 https://t.co/AibesNcvw9 https://t.co/MOcpaN1fXn"
0,project,"5/ Is there a commercial relationship between MoonPay and Bored Apes Yacht Club (BAYC) or any other NFT project? If so, what are the conditions? https://t.co/SVrfZFFYmX"
1,project,"Another big thread about @0xHustler and the project @SavePlanetEarth that is minting later today. It shows once again the dubious ""track records"" that certain people have and how they try to benefit from naive individuals that blindly trust ""charities"".

https://t.co/vZYRumffLc"
2,project,"Last but not least - we have indications that ""scam projects"" are not only generating lots of money via mints, but also via fake collections using Discord messages and even moderators asking for your seed phrase. Do read this thread to protect yourself: https://t.co/KkYNV5saFU"
3,project,"PixelSaurus! The RAWRsome Dinosaur #NFT project!

✅ Over 700+ diverse &amp; inclusive designs!
✅ Embraces disability &amp; mental health!
✅ Over 3 ETH in #NFTs traded!
✅ VERIFIED #OpenSeaNFT account!

ADOPT your PixelSaur...👇
🦖 https://t.co/hJuV9uxwXc
🦕 https://t.co/jk61Izkks4 https://t.co/HjGgLaiKQI"
4,project,"Just a quick retweet from the same group that created the Squiggles document. They also claim that @YogiesNFT that is minting in a couple of hours is a project/rug by the Squiggles team and have compiled a 171 document with proof/evidence.

https://t.co/oxPgixQoCQ"
0,theyre,"5/ Is there a commercial relationship between MoonPay and Bored Apes Yacht Club (BAYC) or any other NFT project? If so, what are the conditions? https://t.co/SVrfZFFYmX"
1,theyre,"Another big thread about @0xHustler and the project @SavePlanetEarth that is minting later today. It shows once again the dubious ""track records"" that certain people have and how they try to benefit from naive individuals that blindly trust ""charities"".

https://t.co/vZYRumffLc"
2,theyre,"Last but not least - we have indications that ""scam projects"" are not only generating lots of money via mints, but also via fake collections using Discord messages and even moderators asking for your seed phrase. Do read this thread to protect yourself: https://t.co/KkYNV5saFU"
3,theyre,"PixelSaurus! The RAWRsome Dinosaur #NFT project!

✅ Over 700+ diverse &amp; inclusive designs!
✅ Embraces disability &amp; mental health!
✅ Over 3 ETH in #NFTs traded!
✅ VERIFIED #OpenSeaNFT account!

ADOPT your PixelSaur...👇
🦖 https://t.co/hJuV9uxwXc
🦕 https://t.co/jk61Izkks4 https://t.co/HjGgLaiKQI"
4,theyre,"Just a quick retweet from the same group that created the Squiggles document. They also claim that @YogiesNFT that is minting in a couple of hours is a project/rug by the Squiggles team and have compiled a 171 document with proof/evidence.

https://t.co/oxPgixQoCQ"
0,trading,"For those interested in LooksRare - the investors were already well-known (we were about to do a thread about it). It was telling to see that one of the largest investors was defending all the wash trading on the platform - even saying that ""it's genius"".

https://t.co/xgkU7uyWhW https://t.co/KWD8zQdHzc"
1,trading,"2/ Some mentioned that we should check the purchases of proof collective, as many wallets only contains the proof collection and the floor is now 88 ETH. Wash trading is so common in so many projects these days that it's not even noteworthy anymore. https://t.co/zgVpXsxzNC"
2,trading,14/ We highlighted the story about Steven Cohen for a specific reason. This man founded the company that pleaded guilty to insider trading in one of the biggest criminal cases against a hedge fund and was able to accumulate his wealth in unethical ways. https://t.co/sxo6OQPWfg
3,trading,"2/ Some mentioned that we should check the purchases of proof collective, as many wallets only contains the proof collection and the floor is now 88 ETH. Wash trading is so common in so many projects these days that it's not even noteworthy anymore. https://t.co/zgVpXsxzNC"
4,trading,"20/ Exposing Beanie was financially the worst decision that we could have personally made, but we did it and didn’t sell any NFTs before his exposure. We also never benefited from trading in NFTs in any way by using this account and the blockchain will provide that."
0,club,"It's interesting to see that @cerealclubnft deleted the 2 tweets about the involvement of 2 high level execs from SnapChat. The same Jeff Miller also promoted HypeBears, but deleted that message.

It confirms what we were already thinking...

https://t.co/rm9RMc759r https://t.co/xyVU00CvCg"
1,club,"@NFTherder @hypebearsclub @cryptocom @binance We are not saying that, but we do hope that more experts like you do a deep dive into all those similarly looking and advertised projects that minted in the past week and are about to mint that are all connected. Could potentially be the biggest ""heist"" in NFT history."
2,club,"@NFTherder @hypebearsclub @cryptocom @binance It's about creating awareness for potential scams. On the surface most projects look great, but if you go one level deeper or ask a couple of more (difficult) questions, you generally see the true nature of a project."
3,club,"It's interesting to see that @cerealclubnft deleted the 2 tweets about the involvement of 2 high level execs from SnapChat. The same Jeff Miller also promoted HypeBears, but deleted that message.

It confirms what we were already thinking...

https://t.co/rm9RMc759r https://t.co/xyVU00CvCg"
4,club,@NFTherder @hypebearsclub @cryptocom @binance We simply wanted to make people aware of this fact. We have noticed lots of new people joining this space that are very naive. It is not uncommon for the funds to be distributed to non-anon accounts or accounts with a history. As said - we look forward to seeing what happens.
0,fun,"PixelSaurus Tri is MINTING NOW for 0.05 ETH on our gas-saver contract! 500/1000 minted so far!
🔗 https://t.co/MhGyUSfkpv 👈

The fun, diverse &amp; inclusive #NFT collection that also embraces disability &amp; mental health issues.

OpenSea floor👇
https://t.co/6P0bkZPBDy

#OpenSeaNFT https://t.co/RKgvDxabS3"
