,Word,Tweets
0,good,"People often conflate being doxxed with operating in an ethical way and being trustworthy. The two are not mutually exclusive - people both doxxed and anon are capable of both good and bad things, how we navigate that is ultimately our personal responsibility 🤝💖"
1,good,2/ We provided some info about a good person in the NFT space who is fully doxed and has been fully transparent. And still there was a little skeleton in the closet (not the drugs). You can imagine the graveyards that are hiding behind those that are not doxed and non-transparent
2,good,2/ We provided some info about a good person in the NFT space who is fully doxed and has been fully transparent. And still there was a little skeleton in the closet (not the drugs). You can imagine the graveyards that are hiding behind those that are not doxed and non-transparent
3,good,"Just for the avoidance of doubt. The verified account @BhawanaCAN is an obvious scam promoting an ""Ape Coin airdrop"" and also the verified account of @ToddWasserman has been hacked and used for scamming.
Almost nothing is what it seems, and if it seems too good to be true, it is. https://t.co/skw6d6jnFi"
4,good,"Just for the avoidance of doubt. The verified account @BhawanaCAN is an obvious scam promoting an ""Ape Coin airdrop"" and also the verified account of @ToddWasserman has been hacked and used for scamming.
Almost nothing is what it seems, and if it seems too good to be true, it is. https://t.co/skw6d6jnFi"
0,soon,There is an unconfirmed rumor that Facebook is about to acquire @TheSandboxGame. It looks like regulation is coming sooner than later to this space... https://t.co/XiAelDoBac
1,soon,"We met SO many new frens today who share our vision of a diversified &amp; inclusive web3. 🌈✊🏽

So as a little treat… here’s a sneak peak of one of our small but mighty ChangeMakers. 

3333 gender diverse, authentic &amp; joyful peeps coming soon👩🏾‍🎤💫

ART: @hrpeacock_ 
#nft #nftproject https://t.co/4QbwH5GuwT"
2,soon,"25/ To quote Jason again: ""we're all in this TOGETHER. And remember WAGMI."" Especially the billionaires that have already made it and who are going to make much and much more. We will write more about all these billionaires soon. https://t.co/32LGOTXpcY"
3,soon,"25/ To quote Jason again: ""we're all in this TOGETHER. And remember WAGMI."" Especially the billionaires that have already made it and who are going to make much and much more. We will write more about all these billionaires soon. https://t.co/32LGOTXpcY"
4,soon,"25/ To quote Jason again: ""we're all in this TOGETHER. And remember WAGMI."" Especially the billionaires that have already made it and who are going to make much and much more. We will write more about all these billionaires soon. https://t.co/32LGOTXpcY"
